Country Name,Capitol City,Population,GDP,COVID Cases,COVID Deaths,Area
Armenia,Yerevan,2963243,12641209802,422900,8623,29743
Honduras,Tegucigalpa,9904607,23662231634,424376,10896,112492
Dominican Republic,Santo Domingo,10847910,78844702329,580201,4376,48671
Peru,Lima,32971854,2.02E+11,3570801,212979,1285216
Panama,Panama City,4314767,53977036995,796461,8199,75417
Burundi,Bujumbura,11890784,2841786382,41235,15,27834
Senegal,Dakar,16743927,24644234595,86029,1966,196722
Moldova,Chisinau,4033963,11915547263,518166,11516,33846
Bosnia and Herzegovina,Sarajevo,3280819,19946496563,377475,15775,51209
New Zealand,Wellington,4822233,2.11E+11,1026715,892,270467
Saudi Arabia,Riyadh,34813871,7.00E+11,757802,9110,2149690
Liberia,Monrovia,5057681,3201187800,7451,294,111369
Ireland,Dublin,4937786,4.26E+11,1535161,7179,70273
Finland,Helsinki,5540720,2.70E+11,1069740,4284,338424
Azerbaijan,Baku,10139177,42607176471,792655,9709,86600
Austria,Vienna,9006398,4.33E+11,4236475,19804,83871
Montenegro,Podgorica,628066,4769860741,236001,2717,13812
Cyprus,Nicosia,1207359,24612646488,486086,1051,9251
Czech Republic,Prague,10708981,2.45E+11,3915231,40240,78865
Portugal,Lisbon,10196709,2.29E+11,4015440,22528,92090
Iran,Tehran,83992949,2.03E+11,7227043,141201,1648195
Netherlands,Amsterdam,17134872,9.14E+11,8065852,22292,41850
Kuwait,Kuwait City,4270571,1.06E+11,632074,2555,17818
